event_id,match_id,match_label,period,time_start,time_end,frame_start,frame_end,player_id,player_name,team_id,team_shortname,event_subtype,x_start,y_start,x_end,y_end,channel_start,channel_end,third_start,third_end,penalty_area_start,penalty_area_end,distance_covered,speed_avg,speed_avg_band,trajectory_direction,targeted,received,received_in_space,dangerous,xthreat,team_in_possession_phase_type,team_out_of_possession_phase_type,high_intensity
1_0,2017461,Melbourne V FC v Auckland FC,1,00:01.3,00:02.9,2523,2539,11117,Z. Machach,868,Melbourne V FC,run_ahead_of_the_ball,4.51,17.39,13.35,18.04,half_space_left,half_space_left,middle_third,middle_third,False,False,8.88,21.51,hsr,forward,1.0,0.0,,0.0,0.0072,direct,defending_direct,True
1_1,2017461,Melbourne V FC v Auckland FC,1,00:01.9,00:03.4,2529,2544,159688,J. Valadon,868,Melbourne V FC,coming_short,-8.85,4.2,-12.1,-2.73,center,center,middle_third,middle_third,False,False,7.3,18.25,running,sideway_right,0.0,0.0,,0.0,0.0005,direct,defending_direct,False
1_2,2017461,Melbourne V FC v Auckland FC,1,00:03.1,00:04.0,2541,2550,50955,N. Velupillay,868,Melbourne V FC,run_ahead_of_the_ball,14.34,31.08,18.18,29.73,wide_left,wide_left,middle_third,attacking_third,False,False,3.56,18.16,running,forward,0.0,0.0,,0.0,0.004,direct,defending_direct,False
1_3,2017461,Melbourne V FC v Auckland FC,1,00:11.9,00:15.1,2629,2661,11117,Z. Machach,868,Melbourne V FC,support,26.47,26.78,40.45,13.47,wide_left,half_space_left,attacking_third,attacking_third,False,True,19.73,21.95,hsr,forward,0.0,0.0,,1.0,0.0519,finish,low_block,True
1_4,2017461,Melbourne V FC v Auckland FC,1,00:12.5,00:14.8,2635,2658,11885,D. Arzani,868,Melbourne V FC,cross_receiver,26.92,2.09,38.6,7.52,center,center,attacking_third,attacking_third,False,True,12.59,20.13,hsr,forward,0.0,0.0,,1.0,0.0403,finish,low_block,True
1_5,2017461,Melbourne V FC v Auckland FC,1,00:12.6,00:15.0,2636,2660,29075,N. Vergos,868,Melbourne V FC,cross_receiver,35.84,3.45,46.16,-2.24,center,center,attacking_third,attacking_third,False,True,11.8,17.58,running,forward,0.0,0.0,,1.0,0.1566,finish,low_block,False
1_6,2017461,Melbourne V FC v Auckland FC,1,01:10.7,01:14.5,3217,3255,11117,Z. Machach,868,Melbourne V FC,run_ahead_of_the_ball,15.49,12.64,31.95,14.76,half_space_left,half_space_left,middle_third,attacking_third,False,False,18.0,16.99,running,forward,0.0,0.0,,1.0,0.0231,chaotic,chaotic,False
1_7,2017461,Melbourne V FC v Auckland FC,1,01:11.3,01:13.9,3223,3249,811820,K. Bos,868,Melbourne V FC,support,11.9,19.72,22.55,24.91,half_space_left,wide_left,middle_third,attacking_third,False,False,12.34,17.01,running,forward,0.0,0.0,,0.0,0.0077,chaotic,chaotic,False
1_8,2017461,Melbourne V FC v Auckland FC,1,01:12.6,01:14.0,3236,3250,50955,N. Velupillay,868,Melbourne V FC,run_ahead_of_the_ball,23.95,18.77,30.42,18.86,half_space_left,half_space_left,attacking_third,attacking_third,False,False,6.54,17.09,running,forward,0.0,0.0,,1.0,0.0206,chaotic,chaotic,False
1_9,2017461,Melbourne V FC v Auckland FC,1,01:17.0,01:22.4,3280,3334,582974,M. Francois,4177,Auckland FC,run_ahead_of_the_ball,-26.83,2.96,6.49,15.01,center,half_space_left,defensive_third,middle_third,False,False,35.7,23.69,hsr,forward,1.0,1.0,1.0,0.0,0.007,transition,defending_transition,True
1_10,2017461,Melbourne V FC v Auckland FC,1,01:17.3,01:21.2,3283,3322,624628,J. Randall,4177,Auckland FC,behind,-14.6,-2.49,8.63,8.16,center,center,middle_third,middle_third,False,False,25.12,23.69,hsr,forward,0.0,0.0,,1.0,0.0263,transition,defending_transition,True
1_11,2017461,Melbourne V FC v Auckland FC,1,01:21.3,01:26.8,3323,3378,133498,F. De Vries,4177,Auckland FC,underlap,-15.99,13.93,25.72,21.64,half_space_left,wide_left,middle_third,attacking_third,False,False,41.88,27.87,sprinting,forward,0.0,0.0,,0.0,0.0134,transition,defending_transition,True
1_12,2017461,Melbourne V FC v Auckland FC,1,01:25.2,01:27.8,3362,3388,624628,J. Randall,4177,Auckland FC,run_ahead_of_the_ball,20.61,21.79,35.15,29.13,wide_left,wide_left,attacking_third,attacking_third,False,False,16.41,22.65,hsr,forward,1.0,1.0,1.0,0.0,0.0066,transition,defending_transition,True
1_13,2017461,Melbourne V FC v Auckland FC,1,01:26.9,01:30.7,3379,3417,38673,G. May,4177,Auckland FC,cross_receiver,23.29,-0.21,44.26,-0.43,center,center,attacking_third,attacking_third,False,True,21.12,19.47,running,forward,0.0,0.0,,1.0,0.0799,transition,defending_transition,False
