match_id,match_label,period,time_start,time_end,duration,team_in_possession_id,team_in_possession_shortname,team_in_possession_phase_type,team_out_of_possession_phase_type,x_start,y_start,x_end,y_end
2017461,Melbourne V FC v Auckland FC,1,00:00.2,00:03.0,2.8,868,Melbourne V FC,create,medium_block,-2.27,0.09,-17.68,-2.01
2017461,Melbourne V FC v Auckland FC,1,00:03.0,00:06.3,3.3,868,Melbourne V FC,direct,defending_direct,-16.43,-1.43,30.38,11.8
2017461,Melbourne V FC v Auckland FC,1,00:06.3,00:08.1,1.8,4177,Auckland FC,chaotic,chaotic,-29.88,-11.97,-14.64,-18.78
2017461,Melbourne V FC v Auckland FC,1,00:08.1,00:16.2,8.1,868,Melbourne V FC,finish,low_block,14.75,18.99,52.06,14.22
2017461,Melbourne V FC v Auckland FC,1,00:33.5,00:39.1,5.6,868,Melbourne V FC,set_play,defending_set_play,,,-5.16,-29.6
2017461,Melbourne V FC v Auckland FC,1,00:39.1,00:42.4,3.3,4177,Auckland FC,transition,defending_transition,-4.59,-29.74,8.4,-30.94
2017461,Melbourne V FC v Auckland FC,1,00:42.4,00:47.3,4.9,868,Melbourne V FC,chaotic,chaotic,-9.35,30.33,-33.86,6.65
2017461,Melbourne V FC v Auckland FC,1,00:47.3,00:50.4,3.1,868,Melbourne V FC,direct,defending_direct,-33.45,6.61,8.02,5.65
2017461,Melbourne V FC v Auckland FC,1,00:50.4,00:55.7,5.3,4177,Auckland FC,chaotic,chaotic,-9.07,-5.58,8.02,-21.29
2017461,Melbourne V FC v Auckland FC,1,00:55.7,01:02.9,7.2,868,Melbourne V FC,create,medium_block,-8.29,21.31,-19.89,-6.42
2017461,Melbourne V FC v Auckland FC,1,01:02.9,01:06.0,3.1,868,Melbourne V FC,direct,defending_direct,-19.26,-5.94,17.81,21.79
2017461,Melbourne V FC v Auckland FC,1,01:06.0,01:09.4,3.4,4177,Auckland FC,chaotic,chaotic,-18.04,-22.2,-7.8,-12.33
2017461,Melbourne V FC v Auckland FC,1,01:09.4,01:15.8,6.4,868,Melbourne V FC,chaotic,chaotic,7.64,12.64,31.39,12.48
2017461,Melbourne V FC v Auckland FC,1,01:15.8,01:31.5,15.7,4177,Auckland FC,transition,defending_transition,-31.43,-12.16,46.06,-3.67
2017461,Melbourne V FC v Auckland FC,1,01:31.5,01:40.1,8.6,868,Melbourne V FC,build_up,high_block,-46.11,4.48,-20.03,32.62
2017461,Melbourne V FC v Auckland FC,1,01:40.1,01:54.3,14.2,868,Melbourne V FC,create,medium_block,-19.67,32.62,-20.89,26.17
2017461,Melbourne V FC v Auckland FC,1,02:07.1,02:11.3,4.2,868,Melbourne V FC,create,medium_block,,,-19.93,-25.65
2017461,Melbourne V FC v Auckland FC,1,02:11.3,02:16.0,4.7,868,Melbourne V FC,build_up,high_block,-20.13,-25.57,-46.43,-6.56
2017461,Melbourne V FC v Auckland FC,1,02:16.0,02:19.6,3.6,868,Melbourne V FC,direct,defending_direct,-45.75,-6.27,2.26,3.32
